,distance,coauthorship,title1,department1,duration1,title2,department2,duration2,is_same_title,is_same_department,duration_difference,Chair1,Fellow1,Head1,Lecturer1,Professional1,Professor1,Aerospace  Mechanical & Mechatronic Engineering1,Australian Centre for Field Robotics1,Chemical & Biomolecular Engineering1,Civil Engineering1,Electrical & Information Engineering1,Information Technologies1,Chair2,Fellow2,Head2,Lecturer2,Professional2,Professor2,Aerospace  Mechanical & Mechatronic Engineering2,Australian Centre for Field Robotics2,Chemical & Biomolecular Engineering2,Civil Engineering2,Electrical & Information Engineering2,Information Technologies2
962,1.129939526,0,Professor,Chemical & Biomolecular Engineering,2743,Professor,Civil Engineering,1581,1,0,1162,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
963,1.130063797,0,Professor,Electrical & Information Engineering,6687,Fellow,Aerospace  Mechanical & Mechatronic Engineering,5039,0,0,1648,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
964,1.130122493,0,Professor,Information Technologies,6687,Fellow,Australian Centre for Field Robotics,1371,0,0,5316,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
965,1.130172643,0,Professor,Aerospace  Mechanical & Mechatronic Engineering,6687,Lecturer,Australian Centre for Field Robotics,6610,0,0,77,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
966,1.130184106,0,Professor,Australian Centre for Field Robotics,6666,Professor,Chemical & Biomolecular Engineering,4920,1,0,1746,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
967,1.130244373,0,Professor,Aerospace  Mechanical & Mechatronic Engineering,4192,Lecturer,Aerospace  Mechanical & Mechatronic Engineering,2159,0,1,2033,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
968,1.130283846,0,Professor,Aerospace  Mechanical & Mechatronic Engineering,6687,Lecturer,Civil Engineering,3105,0,0,3582,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
969,1.130357241,0,Professional,Chemical & Biomolecular Engineering,6687,Professor,Chemical & Biomolecular Engineering,4380,0,1,2307,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
970,1.130372813,0,Lecturer,Australian Centre for Field Robotics,6610,Fellow,Aerospace  Mechanical & Mechatronic Engineering,5039,0,0,1571,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
971,1.13037319,0,Fellow,Information Technologies,363,Professor,Civil Engineering,4472,0,0,4109,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
972,1.130383653,0,Professional,Chemical & Biomolecular Engineering,6687,Lecturer,Civil Engineering,870,0,0,5817,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
973,1.130700391,0,Professor,Civil Engineering,1175,Lecturer,Civil Engineering,2988,0,1,1813,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
974,1.13071941,0,Professor,Electrical & Information Engineering,6687,Lecturer,Civil Engineering,870,0,0,5817,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
975,1.130878766,0,Professor,Information Technologies,6687,Lecturer,Aerospace  Mechanical & Mechatronic Engineering,2159,0,0,4528,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
976,1.131022915,0,Lecturer,Aerospace  Mechanical & Mechatronic Engineering,2159,Professor,Chemical & Biomolecular Engineering,4380,0,0,2221,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
977,1.131065252,0,Professor,Australian Centre for Field Robotics,6687,Professor,Aerospace  Mechanical & Mechatronic Engineering,6558,1,0,129,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
978,1.13119013,0,Professor,Aerospace  Mechanical & Mechatronic Engineering,6687,Fellow,Australian Centre for Field Robotics,3408,0,0,3279,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
979,1.131200605,0,Fellow,Information Technologies,363,Fellow,Information Technologies,305,1,1,58,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
980,1.131235376,0,Professor,Information Technologies,1765,Fellow,Information Technologies,391,0,1,1374,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
981,1.131313681,0,Professor,Civil Engineering,213,Professor,Civil Engineering,3023,1,1,2810,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
982,1.131407198,0,Lecturer,Civil Engineering,1599,Lecturer,Civil Engineering,3105,1,1,1506,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
983,1.131495126,0,Professor,Aerospace  Mechanical & Mechatronic Engineering,6687,Fellow,Australian Centre for Field Robotics,2118,0,0,4569,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
984,1.131571393,0,Lecturer,Australian Centre for Field Robotics,6610,Professor,Civil Engineering,3457,0,0,3153,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
985,1.131662424,0,Fellow,Civil Engineering,6687,Lecturer,Australian Centre for Field Robotics,6610,0,0,77,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
986,1.131761452,0,Professor,Information Technologies,6687,Professor,Civil Engineering,3457,1,0,3230,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
987,1.131773233,0,Lecturer,Chemical & Biomolecular Engineering,5357,Professor,Civil Engineering,1581,0,0,3776,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
988,1.131839985,0,Professor,Aerospace  Mechanical & Mechatronic Engineering,6687,Professor,Information Technologies,5781,1,0,906,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
989,1.131889413,0,Professor,Electrical & Information Engineering,6687,Professor,Aerospace  Mechanical & Mechatronic Engineering,4192,1,0,2495,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
990,1.132111933,0,Professor,Aerospace  Mechanical & Mechatronic Engineering,6687,Lecturer,Electrical & Information Engineering,3100,0,0,3587,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
991,1.132125992,0,Professor,Australian Centre for Field Robotics,6687,Professor,Aerospace  Mechanical & Mechatronic Engineering,6687,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
992,1.132167441,1,Professor,Civil Engineering,6687,Fellow,Civil Engineering,636,0,1,6051,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
993,1.132361451,0,Professor,Australian Centre for Field Robotics,6687,Professor,Civil Engineering,3457,1,0,3230,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
994,1.132395114,0,Fellow,Australian Centre for Field Robotics,3408,Lecturer,Civil Engineering,1599,0,0,1809,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
995,1.132454477,0,Professor,Australian Centre for Field Robotics,6687,Professor,Aerospace  Mechanical & Mechatronic Engineering,6687,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
996,1.132534103,0,Fellow,Aerospace  Mechanical & Mechatronic Engineering,3758,Lecturer,Electrical & Information Engineering,422,0,0,3336,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
997,1.132559461,0,Professor,Information Technologies,6687,Lecturer,Aerospace  Mechanical & Mechatronic Engineering,2159,0,0,4528,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
998,1.132610837,0,Professor,Aerospace  Mechanical & Mechatronic Engineering,6687,Lecturer,Electrical & Information Engineering,422,0,0,6265,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
