Truth, Neural Network
0.0,2284.0684549708008
0.0,3858.133529184453
18.0,6204.265779659747
0.0,77.33231133135224
0.0,2739.56005053581
0.0,5392.767651550409
0.0,1273.2553531025487
41.0,3552.950749970677
0.0,4945.241776958262
0.0,555.4120158971358
0.0,145.5685828171348
0.0,757.5003301800164
0.0,2226.6907844670304
0.0,3013.7553077252696
0.0,2141.5502176174173
0.0,2684.118026004996
0.0,4874.826271284235
5.0,3163.0249066592423
0.0,1273.2310245275983
0.0,2.1073373205241515
0.0,4824.420401832787
0.0,573.291536683247
0.0,2471.1392302393574
16.0,182.9682149531499
0.0,3663.0942532436484
0.0,6262.85187801184
0.0,2901.7915946496373
0.0,88.34402349507685
0.0,1030.8032852907909
0.0,705.9450191852676
0.0,118.92399969157094
0.0,3420.5339430933263
0.0,2286.0728376222714
0.0,181.36647154083923
0.0,6203.5338074138845
0.0,164.5518763461414
0.0,77.32618727434303
0.0,3019.6344927651976
0.0,4953.180699251589
0.0,2523.7305803717372
0.0,2403.998468069215
0.0,5174.8967802272555
0.0,2652.441897667924
0.0,66.59755691088732
0.0,267.44699208166946
0.0,5263.885981236675
0.0,1623.728596494383
0.0,898.0045800141601
0.0,1268.4168066324899
0.0,2283.0728167669995
0.0,3247.2143006416964
0.0,3547.334923285775
0.0,5054.185147123966
0.0,3279.0924845162544
0.0,2018.8386401144498
0.0,1326.703246381171
0.0,2978.142506092616
0.0,161.5178000431213
0.0,3012.7555401694945
0.0,5056.04512364657
0.0,3710.7184446678707
0.0,5264.963730358715
0.0,1494.0349681564899
0.0,938.669506197987
0.0,21.887086464621156
0.0,6319.401188841659
0.0,2901.8319573208305
0.0,223.82540683746367
